Respondent_ID,Age,Gender,Income_Level,Frequency_of_Consumption,Brand_Preference,Satisfaction_Level,Purchase_Location,Reason_for_Choice,Occasions_of_Buying,Most_Often_Consumed_Brand,Consumed_With,NPS_Score,Taste_Rating,Price_Rating,Packaging_Rating,Brand_Reputation_Rating,Availability_Rating,Sweetness_Rating,Fizziness_Rating
1,64,Female,Middle,Daily,Coke,Very Satisfied,Other,Other,Parties,Pepsi,Other,9,4,5,5,5,5,1,3
2,61,Male,Low,Monthly,Coke,Very Dissatisfied,Other,Brand Loyalty,Travel,Coke,With Family,7,1,5,2,5,4,2,1
3,32,Non-Binary,Middle,Monthly,Pepsi,Very Satisfied,Convenience Store,Price,Work,RC Cola,With Friends,3,4,3,1,1,2,1,4
4,50,Non-Binary,High,Daily,Coke,Neutral,Supermarket,Taste,Home,Other,With Friends,2,1,2,2,2,5,1,1
5,63,Female,Low,Monthly,Pepsi,Very Dissatisfied,Other,Price,Restaurants,RC Cola,Other,0,2,2,5,3,5,4,4
6,32,Female,High,Weekly,Pepsi,Very Satisfied,Online,Other,Work,Coke,Other,10,5,3,1,2,5,2,3
7,30,Non-Binary,High,Rarely,Store Brand,Satisfied,Other,Price,Sports Events,Store Brand,With Friends,4,1,4,3,4,5,4,1
8,35,Prefer Not to Say,Middle,Rarely,Pepsi,Very Dissatisfied,Vending Machine,Other,Other,Other,With Family,7,2,2,4,1,3,1,1
9,33,Female,Low,Monthly,Other,Dissatisfied,Vending Machine,Availability,Travel,Other,Alone,1,2,5,3,2,3,4,1
10,64,Non-Binary,Middle,Never,Store Brand,Satisfied,Convenience Store,Taste,Home,Store Brand,With Friends,8,4,4,5,4,2,1,2
11,35,Non-Binary,High,Weekly,RC Cola,Very Dissatisfied,Supermarket,Taste,Work,RC Cola,With Colleagues,7,3,5,1,2,5,3,5
12,51,Male,Middle,Weekly,Store Brand,Satisfied,Convenience Store,Price,Restaurants,Store Brand,Alone,9,5,2,1,2,2,4,4
13,24,Prefer Not to Say,High,Never,Coke,Dissatisfied,Other,Price,Other,RC Cola,Alone,0,2,3,2,1,4,5,1
14,46,Non-Binary,Low,Weekly,Coke,Dissatisfied,Convenience Store,Taste,Home,Other,Other,9,5,5,4,5,3,4,4
15,54,Male,High,Weekly,Pepsi,Very Satisfied,Convenience Store,Other,Parties,Store Brand,With Family,3,1,2,1,5,5,5,5
16,29,Non-Binary,Middle,Monthly,RC Cola,Dissatisfied,Other,Taste,Restaurants,Pepsi,With Friends,4,3,5,2,1,4,4,1
17,56,Non-Binary,High,Monthly,Store Brand,Very Satisfied,Online,Brand Loyalty,Work,Other,With Friends,9,3,2,5,4,4,2,5
18,36,Non-Binary,Middle,Daily,Store Brand,Neutral,Other,Availability,Other,Pepsi,Other,5,3,3,2,4,3,1,5
19,45,Non-Binary,Middle,Never,RC Cola,Dissatisfied,Other,Other,Sports Events,Other,With Family,8,1,4,4,2,5,4,4
20,57,Female,Middle,Daily,Other,Very Dissatisfied,Convenience Store,Other,Restaurants,Coke,Other,7,4,4,5,3,4,3,1
21,21,Non-Binary,High,Daily,RC Cola,Dissatisfied,Convenience Store,Availability,Parties,Other,With Colleagues,2,5,4,2,3,4,4,4
22,50,Non-Binary,Middle,Weekly,Pepsi,Very Satisfied,Vending Machine,Availability,Sports Events,Store Brand,With Friends,5,5,2,5,4,3,1,1
